Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quicksti,Chrome 89.0.4389.90,,,2021-03-18 13:15:02,2021-03-18 13:25:06,10m - 4.093s,PASSED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_004_MultiBureauSite_MultiBureaus_SingleLinePayment,Chrome 89.0.4389.90,,,2021-03-18 13:15:03,2021-03-18 13:25:06,10m - 2.868s,PASSED
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-18 13:15:04,2021-03-18 13:15:04,0.003s,PASSED
"data = findTestData(""Data Files/Certpay/MultiBureau_SingleLine"")",Chrome 89.0.4389.90,,,2021-03-18 13:15:04,2021-03-18 13:15:05,0.558s,PASSED
for (def index : (1..data.getRowNumbers())),Chrome 89.0.4389.90,,,2021-03-18 13:15:05,2021-03-18 13:25:04,9m - 59.398s,PASSED
Start listener action : afterTestCase,Chrome 89.0.4389.90,,,2021-03-18 13:25:04,2021-03-18 13:25:06,2.199s,PASSED
