Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quicksti_Sameday_PartialRefund_Admin,,,,2021-03-22 15:54:16,2021-03-22 15:55:59,1m - 42.695s,ERROR
,,,,,,,
Test Cases/SameDay_Refunds_Admin/TC_002_VISA_Sameday_PartialRefund,,,,2021-03-22 15:54:21,2021-03-22 15:55:59,1m - 37.257s,ERROR
Start listener action : beforeTestCase,,,,2021-03-22 15:54:22,2021-03-22 15:54:22,0.015s,PASSED
"data = findTestData(""Data Files/Certpay/SingleBureau_SingleLine"")",,,,2021-03-22 15:54:24,2021-03-22 15:54:27,2.581s,PASSED
paymentIdList = [],,,,2021-03-22 15:54:27,2021-03-22 15:54:27,0.002s,PASSED
for (def index : (1..data.getRowNumbers())),,,,2021-03-22 15:54:27,2021-03-22 15:55:58,1m - 31.471s,ERROR
Start listener action : afterTestCase,,,,2021-03-22 15:55:58,2021-03-22 15:55:59,0.057s,PASSED
