Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Consumer_Payment_Making,Chrome 89.0.4389.90,,,2021-03-18 18:29:12,2021-03-18 18:32:42,3m - 30.364s,PASSED
,,,,,,,
Test Cases/Consumer_Make_Payment/TC_003_Echeck_Checking_SingleLine_Payment,Chrome 89.0.4389.90,,,2021-03-18 18:29:15,2021-03-18 18:32:42,3m - 27.166s,PASSED
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-18 18:29:16,2021-03-18 18:29:16,0.020s,PASSED
"utilities.SafeActions.openBrowser(certpay_url, [pageLoadTime])",Chrome 89.0.4389.90,Open Certpay application,,2021-03-18 18:29:17,2021-03-18 18:29:42,25.508s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Home_ Page/BUREAU_CODE""), bureauCode, ""Bureau code"", [pageLoadTime])",Chrome 89.0.4389.90,Enter valid Bureau code,,2021-03-18 18:29:42,2021-03-18 18:29:47,4.570s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/BEGIN_PAYMENT""), ""Begin payment"", [pageLoadTime])",Chrome 89.0.4389.90,Click on 'Begin Payment',,2021-03-18 18:29:47,2021-03-18 18:29:53,6.321s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/NEXT_BUTTON""), ""Continue"", [pageLoadTime])",Chrome 89.0.4389.90,Click on 'Continue',,2021-03-18 18:29:53,2021-03-18 18:29:59,5.763s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Home_ Page/ELECTRONIC_CHECK""), ""Echeck"", [pageLoadTime])",Chrome 89.0.4389.90,Select 'Electronic check' radio button,,2021-03-18 18:29:59,2021-03-18 18:30:02,3.315s,PASSED
"pages.Payment_Page.setAmount(""1"", paymentAmount, ""testing"", referenceNum)",Chrome 89.0.4389.90,"Enter payment amount,reference nu8m,comments",,2021-03-18 18:30:03,2021-03-18 18:30:14,11.665s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/PAYMENT_TYPE""), paymentType, ""Payment Type"", [pageLoadTime])",Chrome 89.0.4389.90,Select 'Payment type',,2021-03-18 18:30:14,2021-03-18 18:30:18,3.902s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Chrome 89.0.4389.90,Click on 'Continue',,2021-03-18 18:30:18,2021-03-18 18:30:23,4.515s,PASSED
"pages.Payment_Page.setPersonalDetails(firstName, lastName, telephone)",Chrome 89.0.4389.90,"Enter First and Last name,telephone",,2021-03-18 18:30:23,2021-03-18 18:30:33,10.434s,PASSED
"pages.Payment_Page.setLocationDetails(address, zipCode)",Chrome 89.0.4389.90,Enter address details,,2021-03-18 18:30:33,2021-03-18 18:30:39,5.757s,PASSED
"pages.Payment_Page.clickOnElement(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""))",Chrome 89.0.4389.90,Click on 'Continue',,2021-03-18 18:30:39,2021-03-18 18:30:42,3.301s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/CheckBox""), ""Billing CheckBox"", [pageLoadTime])",Chrome 89.0.4389.90,Select checkbox 'My billing information is same information i entered in previous page',,2021-03-18 18:30:42,2021-03-18 18:30:46,4.389s,PASSED
waitForPageLoad(2),Chrome 89.0.4389.90,,,2021-03-18 18:30:46,2021-03-18 18:30:48,1.289s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Chrome 89.0.4389.90,Click on 'Continue',,2021-03-18 18:30:48,2021-03-18 18:30:54,6.020s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/ACC_TYPE_CHECKING""), ""Checking"", [pageLoadTime])",Chrome 89.0.4389.90,Select Account type as 'Checking',,2021-03-18 18:30:54,2021-03-18 18:30:58,4.229s,PASSED
"pages.Payment_Page.setElectronicCheckInformation(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/CHECKING_ACCOUNT_NUMBER""), findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/CONFIRM_CHECKING_ACC_NUM""), routingNum, checkingAccNum)",Chrome 89.0.4389.90,"Enter 'Routing Number',checking acc num",,2021-03-18 18:30:58,2021-03-18 18:31:09,10.563s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/EMAIL_ADDRESS""), emailAddress, ""EmailAddress"", [pageLoadTime])",Chrome 89.0.4389.90,Enter 'Email address',,2021-03-18 18:31:09,2021-03-18 18:31:12,3.088s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/SIGNATURE""), firstName, ""First name"", [pageLoadTime])",Chrome 89.0.4389.90,Enter 'Signature',,2021-03-18 18:31:12,2021-03-18 18:31:15,2.917s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/AGREEMENT""), ""Yes"", ""Agreement"", [pageLoadTime])",Chrome 89.0.4389.90,Enter 'Agreement' (Yes),,2021-03-18 18:31:15,2021-03-18 18:31:18,3.019s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CHECK_CONTINUE""), ""Continue"", [pageLoadTime])",Chrome 89.0.4389.90,Click on Continue,,2021-03-18 18:31:18,2021-03-18 18:31:20,2.357s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Chrome 89.0.4389.90,Click on Continue,,2021-03-18 18:31:20,2021-03-18 18:31:25,4.695s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/I_AGREE""), ""I agree"", [pageLoadTime])",Chrome 89.0.4389.90,Click on 'I agree',,2021-03-18 18:31:25,2021-03-18 18:31:30,5.083s,PASSED
"pages.Payment_Page.verifyUserDetails(firstName, lastName, emailAddress, ""VISA"", ""Checking"")",Chrome 89.0.4389.90,verify user details,,2021-03-18 18:31:30,2021-03-18 18:31:37,6.979s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Verification_ Details/PROCESS_PAYMENT""), ""Process Payment"", [pageLoadTime])",Chrome 89.0.4389.90,Click on 'Process Payment',,2021-03-18 18:31:37,2021-03-18 18:31:39,2.311s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Verification_ Details/YES_BUTTON""), ""yes button"", [pageLoadTime])",Chrome 89.0.4389.90,Click on 'Yes',,2021-03-18 18:31:39,2021-03-18 18:31:44,4.906s,PASSED
"verifyElementPresent(findTestObject(""MAKE_ PAYMENT/Verification_ Details/PENDING""), 30)",Chrome 89.0.4389.90,"Verify paymnet status
",,2021-03-18 18:31:44,2021-03-18 18:31:46,1.733s,PASSED
PaymentID = pages.Payment_Page.verifyECheckPaymentApproval(referenceNum),Chrome 89.0.4389.90,Note paymentId,,2021-03-18 18:31:46,2021-03-18 18:31:49,3.711s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/SEARCH_PAYMENT""), ""Search Payment"", [pageLoadTime])",Chrome 89.0.4389.90,Click on 'Search Payment',,2021-03-18 18:31:49,2021-03-18 18:31:52,2.372s,PASSED
waitForPageLoad(10),Chrome 89.0.4389.90,,,2021-03-18 18:31:52,2021-03-18 18:31:52,0.026s,PASSED
pages.Search_Page.switchToWindow(),Chrome 89.0.4389.90,,,2021-03-18 18:31:52,2021-03-18 18:31:54,2.384s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""SEARCH_PAYMENT/ELECTRONIC_CHECK""), ""E check"", [pageLoadTime])",Chrome 89.0.4389.90,Select 'E-check' radio button,,2021-03-18 18:31:54,2021-03-18 18:32:08,13.527s,PASSED
"pages.Search_Page.setSearchDetails(lastName, cardNum, checkingAccNum)",Chrome 89.0.4389.90,"Enter billing last name,acc num",,2021-03-18 18:32:08,2021-03-18 18:32:16,8.612s,PASSED
