Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quicksti_Sameday_PartialRefund_Admin,Chrome 89.0.4389.90,,,2021-03-22 12:38:52,2021-03-22 12:43:06,4m - 14.196s,FAILED
,,,,,,,
Test Cases/SameDay_Refunds_Admin/TC_002_VISA_Sameday_PartialRefund,Chrome 89.0.4389.90,,,2021-03-22 12:38:55,2021-03-22 12:43:06,4m - 11.600s,FAILED
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-22 12:38:55,2021-03-22 12:38:55,0.012s,PASSED
"data = findTestData(""Data Files/Certpay/SingleBureau_SingleLine"")",Chrome 89.0.4389.90,,,2021-03-22 12:38:56,2021-03-22 12:38:59,2.097s,PASSED
paymentIdList = [],Chrome 89.0.4389.90,,,2021-03-22 12:38:59,2021-03-22 12:38:59,0.002s,PASSED
for (def index : (1..data.getRowNumbers())),Chrome 89.0.4389.90,,,2021-03-22 12:38:59,2021-03-22 12:43:03,4m - 4.154s,FAILED
Start listener action : afterTestCase,Chrome 89.0.4389.90,,,2021-03-22 12:43:03,2021-03-22 12:43:06,3.633s,PASSED
