Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quicksti_Sameday_Refund_Void_Admin,Chrome 89.0.4389.90,,,2021-03-22 11:06:53,2021-03-22 11:10:15,3m - 21.377s,FAILED
,,,,,,,
Test Cases/SameDay_Refunds_Admin/TC_003_VISA_SamedayRefund_Void,Chrome 89.0.4389.90,,,2021-03-22 11:06:55,2021-03-22 11:10:15,3m - 19.419s,FAILED
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-22 11:06:55,2021-03-22 11:06:55,0.022s,PASSED
"data = findTestData(""Data Files/Certpay/SingleBureau_SingleLine"")",Chrome 89.0.4389.90,,,2021-03-22 11:06:56,2021-03-22 11:06:59,2.706s,PASSED
paymentIdList = [],Chrome 89.0.4389.90,,,2021-03-22 11:06:59,2021-03-22 11:06:59,0.000s,PASSED
for (def index : (1..data.getRowNumbers())),Chrome 89.0.4389.90,,,2021-03-22 11:06:59,2021-03-22 11:10:13,3m - 13.976s,FAILED
Start listener action : afterTestCase,Chrome 89.0.4389.90,,,2021-03-22 11:10:13,2021-03-22 11:10:15,1.818s,PASSED
