Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quicksti_Sameday_PartialRefund_Admin,Chrome 89.0.4389.90,,,2021-03-22 11:10:57,2021-03-22 11:17:35,6m - 38.476s,FAILED
,,,,,,,
Test Cases/SameDay_Refunds_Admin/TC_002_VISA_Sameday_PartialRefund,Chrome 89.0.4389.90,,,2021-03-22 11:11:01,2021-03-22 11:17:35,6m - 33.685s,FAILED
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-22 11:11:02,2021-03-22 11:11:02,0.015s,PASSED
"data = findTestData(""Data Files/Certpay/SingleBureau_SingleLine"")",Chrome 89.0.4389.90,,,2021-03-22 11:11:03,2021-03-22 11:11:06,3.262s,PASSED
paymentIdList = [],Chrome 89.0.4389.90,,,2021-03-22 11:11:06,2021-03-22 11:11:06,0.001s,PASSED
for (def index : (1..data.getRowNumbers())),Chrome 89.0.4389.90,,,2021-03-22 11:11:06,2021-03-22 11:17:34,6m - 28.194s,FAILED
Start listener action : afterTestCase,Chrome 89.0.4389.90,,,2021-03-22 11:17:34,2021-03-22 11:17:35,1.041s,PASSED
