Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quicksti,Chrome 89.0.4389.90,,,2021-03-18 13:39:43,2021-03-18 14:20:23,40m - 39.842s,FAILED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_001_SingleBureauSite_SingleLinePayment,Chrome 89.0.4389.90,,,2021-03-18 13:39:47,2021-03-18 13:48:38,8m - 51.115s,PASSED
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-18 13:39:47,2021-03-18 13:39:47,0.007s,PASSED
"data = findTestData(""Data Files/Certpay/SingleBureau_SingleLine"")",Chrome 89.0.4389.90,,,2021-03-18 13:39:48,2021-03-18 13:39:49,0.983s,PASSED
paymentIdList = [],Chrome 89.0.4389.90,,,2021-03-18 13:39:49,2021-03-18 13:39:49,0.002s,PASSED
for (def index : (1..data.getRowNumbers())),Chrome 89.0.4389.90,,,2021-03-18 13:39:49,2021-03-18 13:48:37,8m - 47.951s,PASSED
return paymentIdList,Chrome 89.0.4389.90,,,2021-03-18 13:48:37,2021-03-18 13:48:37,0.000s,PASSED
Start listener action : afterTestCase,Chrome 89.0.4389.90,,,2021-03-18 13:48:37,2021-03-18 13:48:38,1.066s,PASSED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_002_MultiBureauSite_SingleBureau_MultiLinePayment,Chrome 89.0.4389.90,,,2021-03-18 13:48:38,2021-03-18 13:59:54,11m - 16.266s,PASSED
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-18 13:48:38,2021-03-18 13:48:38,0.000s,PASSED
"data = findTestData(""Certpay/SingleBureau_MultiLine"")",Chrome 89.0.4389.90,,,2021-03-18 13:48:39,2021-03-18 13:48:39,0.176s,PASSED
amountList = [],Chrome 89.0.4389.90,,,2021-03-18 13:48:39,2021-03-18 13:48:39,0.001s,PASSED
referenceList = [],Chrome 89.0.4389.90,,,2021-03-18 13:48:39,2021-03-18 13:48:39,0.000s,PASSED
paymentTypeList = [],Chrome 89.0.4389.90,,,2021-03-18 13:48:39,2021-03-18 13:48:39,0.001s,PASSED
