Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quicksti_Sameday_PartialRefund_Admin,Chrome 89.0.4389.90,,,2021-03-22 14:02:36,2021-03-22 14:23:55,21m - 19.582s,FAILED
,,,,,,,
Test Cases/SameDay_Refunds_Admin/TC_002_VISA_Sameday_PartialRefund,Chrome 89.0.4389.90,,,2021-03-22 14:02:39,2021-03-22 14:23:55,21m - 16.134s,FAILED
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-22 14:02:39,2021-03-22 14:02:39,0.031s,PASSED
"data = findTestData(""Data Files/Certpay/SingleBureau_SingleLine"")",Chrome 89.0.4389.90,,,2021-03-22 14:02:40,2021-03-22 14:02:42,1.647s,PASSED
paymentIdList = [],Chrome 89.0.4389.90,,,2021-03-22 14:02:42,2021-03-22 14:02:42,0.001s,PASSED
for (def index : (1..data.getRowNumbers())),Chrome 89.0.4389.90,,,2021-03-22 14:02:42,2021-03-22 14:23:54,21m - 12.258s,FAILED
Start listener action : afterTestCase,Chrome 89.0.4389.90,,,2021-03-22 14:23:54,2021-03-22 14:23:55,1.286s,PASSED
