Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Consumer_Payment_Making,Chrome 89.0.4389.90,,,2021-03-19 11:33:19,2021-03-19 11:52:55,19m - 36.426s,FAILED
,,,,,,,
Test Cases/Consumer_Make_Payment/TC_001_Credit_SingleLine_Payment,Chrome 89.0.4389.90,,,2021-03-19 11:33:20,2021-03-19 11:37:07,3m - 46.942s,FAILED
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-19 11:33:21,2021-03-19 11:33:21,0.007s,PASSED
"utilities.SafeActions.openBrowser(certpay_url, [pageLoadTime])",Chrome 89.0.4389.90,Open Certpay application,,2021-03-19 11:33:22,2021-03-19 11:33:47,25.256s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Home_ Page/BUREAU_CODE""), bureauCode, ""Bureau code"", [pageLoadTime])",Chrome 89.0.4389.90,Enter valid Bureau code,,2021-03-19 11:33:47,2021-03-19 11:33:51,4.129s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/BEGIN_PAYMENT""), ""Begin payment"", [pageLoadTime])",Chrome 89.0.4389.90,Click on 'Begin Payment',,2021-03-19 11:33:51,2021-03-19 11:33:57,5.509s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Chrome 89.0.4389.90,Click on 'Continue',,2021-03-19 11:33:57,2021-03-19 11:34:03,6.535s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Home_ Page/BANK_CARD""), ""Bank card"", [pageLoadTime])",Chrome 89.0.4389.90,Select 'Bank card' radio button,,2021-03-19 11:34:03,2021-03-19 11:34:06,3.243s,PASSED
"pages.Payment_Page.setAmount(""1"", paymentAmount, ""testing"", referenceNum)",Chrome 89.0.4389.90,"Enter Payment Amount,reference num,comments",,2021-03-19 11:34:06,2021-03-19 11:34:14,7.982s,PASSED
waitForPageLoad(0),Chrome 89.0.4389.90,,,2021-03-19 11:34:14,2021-03-19 11:34:14,0.073s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/CARD_TYPE""), CardType, ""CardType"", [pageLoadTime])",Chrome 89.0.4389.90,Select 'Visa' from card type dropdown,,2021-03-19 11:34:14,2021-03-19 11:34:18,3.527s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/PAYMENT_TYPE""), paymentType, ""Payment Type"", [pageLoadTime])",Chrome 89.0.4389.90,Select 'Payment type',,2021-03-19 11:34:18,2021-03-19 11:34:21,3.467s,PASSED
"scrollToElement(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), 30)",Chrome 89.0.4389.90,,,2021-03-19 11:34:21,2021-03-19 11:34:22,0.496s,PASSED
